restaurant,item,protein,calories,total_fat,sodium,cholesterol
Taco Bell,Beefy 5-Layer Burrito,19.0,550,22,1270,35
Taco Bell,Beefy Fritos® Burrito,13.0,440,18,1030,20
Taco Bell,Black Bean Burrito,14.0,410,12,1100,10
Taco Bell,Burrito Supreme® – Beef,16.0,420,16,1090,35
Taco Bell,Burrito Supreme® - Chicken,19.0,390,12,1050,40
Taco Bell,Burrito Supreme® - Steak,17.0,390,13,1090,30
Taco Bell,Cantina Power Burrito - Chicken,32.0,760,27,1960,60
Taco Bell,Cantina Power Burrito - Steak,33.0,780,28,1900,50
Taco Bell,Cantina Power Burrito - Veggie,20.0,740,26,1750,10
Taco Bell,Cheesy Bean and Rice Burrito,11.0,420,17,930,0
Taco Bell,Chili Cheese Burrito,16.0,380,17,930,35
Taco Bell,Chicken Crunchy Cheesy Core Burrito,25.0,610,24,1510,55
Taco Bell,Steak Crunchy Cheesy Core Burrito,25.0,610,24,1520,50
Taco Bell,Beef Crunchy Cheesy Core Burrito,22.0,630,26,1530,45
Taco Bell,Loaded Taco Burrito,20.0,550,29,1130,50
Taco Bell,Chicken Quesarito,24.0,620,30,1440,60
Taco Bell,Steak Quesarito,25.0,630,31,1410,65
Taco Bell,Beef Quesarito,22.0,650,34,1450,60
Taco Bell,Shredded Chicken Burrito,16.0,400,18,960,30
Taco Bell,Smothered Burrito - Beef,28.0,710,35,2260,75
Taco Bell,Smothered Burrito - Shredded Chicken,34.0,650,28,2230,70
Taco Bell,Smothered Burrito - Steak,35.0,670,29,2080,80
Taco Bell,Chicken Spicy Cheesy Core Burrito,24.0,540,20,1740,55
Taco Bell,Steak Spicy Cheesy Core Burrito,24.0,550,21,1750,50
Taco Bell,Beef Spicy Cheesy Core Burrito,22.0,570,23,1760,45
Taco Bell,Triple Melt Burrito,15.0,410,16,1030,30
Taco Bell,XXL Grilled Stuft Burrito - Beef,31.0,880,42,2020,75
Taco Bell,XXL Grilled Stuft Burrito - Chicken,37.0,830,35,1940,85
Taco Bell,XXL Grilled Stuft Burrito - Steak,33.0,820,36,2020,70
Taco Bell,Chicken Soft Taco,12.0,170,6,460,30
Taco Bell,Cool Ranch® Doritos® Double Decker® Taco,13.0,320,14,770,25
Taco Bell,Cool Ranch® Doritos® Locos Taco,8.0,160,10,350,25
Taco Bell,Cool Ranch® Doritos® Locos Taco Supreme,9.0,200,12,370,35
Taco Bell,Crunchy Taco,8.0,170,10,290,25
Taco Bell,Crunchy Taco Supreme®,9.0,200,12,320,35
Taco Bell,Double Decker® Taco,13.0,320,14,640,25
Taco Bell,DOUBLE DECKER® Taco Supreme®,14.0,350,16,670,35
Taco Bell,Spicy Sweet Double Stacked Taco,12.0,340,18,640,35
Taco Bell,Cool Ranch Habanero Double Stacked Taco,13.0,350,20,630,40
Taco Bell,Nacho Crunch Double Stacked Taco,13.0,380,19,650,35
Taco Bell,Fiery Doritos® Double Decker® Taco,14.0,320,13,770,25
Taco Bell,Fiery Doritos® Locos Taco,8.0,170,10,370,25
Taco Bell,Fiery Doritos® Locos Taco Supreme,9.0,200,12,390,30
Taco Bell,Grilled Steak Soft Taco,11.0,250,14,550,30
Taco Bell,Nacho Cheese Doritos® Double Decker® Taco,14.0,320,13,760,25
Taco Bell,Nacho Cheese Doritos® Locos Tacos,8.0,170,9,340,25
Taco Bell,Nacho Cheese Doritos® Locos Tacos Supreme,9.0,200,11,370,35
Taco Bell,Soft Taco Supreme® – Beef,10.0,230,11,530,35
Taco Bell,Soft Taco-Beef,10.0,200,9,510,25
Taco Bell,Spicy Potato Soft Taco,6.0,250,13,510,10
Taco Bell,Chalupa Supreme® - Chicken,16.0,340,18,530,40
Taco Bell,Chalupa Supreme® - Steak,14.0,340,18,570,30
Taco Bell,Chalupa Supreme®–Beef,13.0,370,21,570,30
Taco Bell,Double Chalupa,21.0,600,35,1010,50
Taco Bell,Wild Naked Chicken Chalupa,19.0,420,28,1070,65
Taco Bell,Mild Naked Chicken Chalupa,20.0,440,30,1090,70
Taco Bell,Spicy Double Chalupa,21.0,600,35,1240,50
Taco Bell,Fresco Bean Burrito,11.0,350,9,950,0
Taco Bell,Fresco Burrito Supreme® – Chicken,17.0,340,8,1020,25
Taco Bell,Fresco Burrito Supreme® – Steak,15.0,340,9,1060,15
Taco Bell,Fresco Chicken Soft Taco,11.0,150,4,460,25
Taco Bell,Fresco Crunchy Taco,6.0,140,8,290,20
Taco Bell,Fresco Grilled Steak Soft Taco,9.0,150,4,500,15
Taco Bell,Fresco Soft Taco,8.0,170,7,500,20
Taco Bell,Cheesy Gordita Crunch,20.0,490,29,810,55
Taco Bell,Doritos® Cheesy Gordita Crunch - Cool Ranch,20.0,490,28,890,55
Taco Bell,Doritos® Cheesy Gordita Crunch - Fiery,20.0,490,28,890,55
Taco Bell,Doritos® Cheesy Gordita Crunch - Nacho Cheese,20.0,490,28,880,55
Taco Bell,Double Cheesy Gordita Crunch,25.0,570,32,1110,70
Taco Bell,Gordita Supreme® – Beef,13.0,300,14,550,30
Taco Bell,Gordita Supreme® - Chicken,16.0,270,10,510,40
Taco Bell,Gordita Supreme® - Steak,14.0,270,11,550,30
Taco Bell,Nacho Fries Bellgrande,13.0,710,41,1420,30
Taco Bell,Nachos BellGrande®,18.0,760,39,1100,30
Taco Bell,Nachos Supreme,12.0,430,23,690,30
Taco Bell,Triple Layer Nachos,7.0,320,15,600,0
Taco Bell,Triple Melt Nachos,10.0,260,16,550,30
Taco Bell,Beefy Cheddar Crunchwrap Slider,14.0,410,19,960,25
Taco Bell,Beefy Mini Quesadilla,9.0,210,12,560,25
Taco Bell,Beefy Nacho Griller,12.0,420,19,870,20
Taco Bell,BLT Crunchwrap Slider,12.0,430,23,900,20
Taco Bell,Cantina Power Bowl - Chicken,26.0,560,22,1520,60
Taco Bell,Cantina Power Bowl - Steak,27.0,580,23,1460,50
Taco Bell,Cantina Power Bowl - Veggie,14.0,540,21,1310,10
Taco Bell,Cheese Quesadilla,19.0,480,27,1000,50
Taco Bell,Cheese Roll-Up,9.0,190,9,450,20
Taco Bell,Chicken Quesadilla,27.0,520,28,1210,75
Taco Bell,Chickstar,17.0,620,37,1290,50
Taco Bell,Chili Cheese Burrito,16.0,380,17,930,35
Taco Bell,Chipotle Crispy Chicken Griller,9.0,290,18,640,25
Taco Bell,Crispy Chicken Quesadilla,26.0,650,37,1480,75
Taco Bell,Crunchwrap Supreme®,16.0,540,21,1110,30
Taco Bell,Double Tostada,12.0,270,11,650,15
Taco Bell,Express Taco Salad w/ Chips,23.0,580,29,1270,60
Taco Bell,Loaded Potato Griller,13.0,470,22,1120,25
Taco Bell,Mexican Pizza,20.0,540,31,860,40
Taco Bell,MexiMelt®,14.0,270,14,740,40
Taco Bell,Steak Quesalupa,22.0,440,23,840,60
Taco Bell,Chicken Quesalupa,22.0,440,23,840,60
Taco Bell,Beef Quesalupa,19.0,460,26,890,50
Taco Bell,Shredded Chicken Mini Quesadilla,12.0,180,8,540,25
Taco Bell,Spicy Chicken Crunchwrap Slider,15.0,400,20,900,25
Taco Bell,Spicy Tostada,7.0,200,10,440,10
Taco Bell,Stacker,18.0,390,18,1050,40
Taco Bell,Steak Quesadilla,25.0,520,28,1250,65
Taco Bell,Original Triple Double Crunchwrap,23.0,700,30,1550,45
Taco Bell,Spicy Triple Double Crunchwrap,23.0,780,38,1850,50
Taco Bell,Express Taco Salad w/ Chips,23.0,580,29,1270,60
Taco Bell,Fiesta Taco Salad-Beef,26.0,780,42,1340,60
Taco Bell,Fiesta Taco Salad-Chicken,32.0,720,35,1260,70
Taco Bell,Fiesta Taco Salad-Steak,28.0,720,36,1340,55
